,metric,method,truncation_mode,level,k,silhouette,DBscore
167,cityblock,average,level,5,8,0.24987493556459694,1.1655209107524858
168,cityblock,average,level,5,9,0.24719024117150595,1.087339967635514
169,cityblock,average,level,5,10,0.24154005230003775,1.0286550143296085
170,cityblock,average,level,10,6,0.25113274835253635,1.152227946411552
171,cityblock,average,level,10,7,0.25000124906495214,1.2716408967275334
172,cityblock,average,level,10,8,0.24987493556459694,1.1655209107524858
173,cityblock,average,level,10,9,0.24719024117150595,1.087339967635514
174,cityblock,average,level,10,10,0.24154005230003775,1.0286550143296085
175,cityblock,average,level,15,6,0.25113274835253635,1.152227946411552
176,cityblock,average,level,15,7,0.25000124906495214,1.2716408967275334
177,cityblock,average,level,15,8,0.24987493556459694,1.1655209107524858
178,cityblock,average,level,15,9,0.24719024117150595,1.087339967635514
179,cityblock,average,level,15,10,0.24154005230003775,1.0286550143296085
180,cityblock,weighted,,2,6,0.2326219886190926,1.2851480277997773
181,cityblock,weighted,,2,7,0.21240963721919595,1.4247071641471223
182,cityblock,weighted,,2,8,0.21244854074030495,1.2955764384546542
183,cityblock,weighted,,2,9,0.21220598918199335,1.3078024743738816
184,cityblock,weighted,,2,10,0.20033435737283564,1.3506688456289058
185,cityblock,weighted,,5,6,0.2326219886190926,1.2851480277997773
186,cityblock,weighted,,5,7,0.21240963721919595,1.4247071641471223
187,cityblock,weighted,,5,8,0.21244854074030495,1.2955764384546542
188,cityblock,weighted,,5,9,0.21220598918199335,1.3078024743738816
189,cityblock,weighted,,5,10,0.20033435737283564,1.3506688456289058
190,cityblock,weighted,,10,6,0.2326219886190926,1.2851480277997773
191,cityblock,weighted,,10,7,0.21240963721919595,1.4247071641471223
192,cityblock,weighted,,10,8,0.21244854074030495,1.2955764384546542
193,cityblock,weighted,,10,9,0.21220598918199335,1.3078024743738816
194,cityblock,weighted,,10,10,0.20033435737283564,1.3506688456289058
195,cityblock,weighted,,15,6,0.2326219886190926,1.2851480277997773
196,cityblock,weighted,,15,7,0.21240963721919595,1.4247071641471223
197,cityblock,weighted,,15,8,0.21244854074030495,1.2955764384546542
198,cityblock,weighted,,15,9,0.21220598918199335,1.3078024743738816
199,cityblock,weighted,,15,10,0.20033435737283564,1.3506688456289058
200,cityblock,weighted,lastp,2,6,0.2326219886190926,1.2851480277997773
201,cityblock,weighted,lastp,2,7,0.21240963721919595,1.4247071641471223
202,cityblock,weighted,lastp,2,8,0.21244854074030495,1.2955764384546542
203,cityblock,weighted,lastp,2,9,0.21220598918199335,1.3078024743738816
204,cityblock,weighted,lastp,2,10,0.20033435737283564,1.3506688456289058
205,cityblock,weighted,lastp,5,6,0.2326219886190926,1.2851480277997773
206,cityblock,weighted,lastp,5,7,0.21240963721919595,1.4247071641471223
207,cityblock,weighted,lastp,5,8,0.21244854074030495,1.2955764384546542
208,cityblock,weighted,lastp,5,9,0.21220598918199335,1.3078024743738816
209,cityblock,weighted,lastp,5,10,0.20033435737283564,1.3506688456289058
210,cityblock,weighted,lastp,10,6,0.2326219886190926,1.2851480277997773
211,cityblock,weighted,lastp,10,7,0.21240963721919595,1.4247071641471223
212,cityblock,weighted,lastp,10,8,0.21244854074030495,1.2955764384546542
213,cityblock,weighted,lastp,10,9,0.21220598918199335,1.3078024743738816
214,cityblock,weighted,lastp,10,10,0.20033435737283564,1.3506688456289058
215,cityblock,weighted,lastp,15,6,0.2326219886190926,1.2851480277997773
216,cityblock,weighted,lastp,15,7,0.21240963721919595,1.4247071641471223
217,cityblock,weighted,lastp,15,8,0.21244854074030495,1.2955764384546542
218,cityblock,weighted,lastp,15,9,0.21220598918199335,1.3078024743738816
219,cityblock,weighted,lastp,15,10,0.20033435737283564,1.3506688456289058
220,cityblock,weighted,level,2,6,0.2326219886190926,1.2851480277997773
221,cityblock,weighted,level,2,7,0.21240963721919595,1.4247071641471223
222,cityblock,weighted,level,2,8,0.21244854074030495,1.2955764384546542
223,cityblock,weighted,level,2,9,0.21220598918199335,1.3078024743738816
224,cityblock,weighted,level,2,10,0.20033435737283564,1.3506688456289058
225,cityblock,weighted,level,5,6,0.2326219886190926,1.2851480277997773
226,cityblock,weighted,level,5,7,0.21240963721919595,1.4247071641471223
227,cityblock,weighted,level,5,8,0.21244854074030495,1.2955764384546542
228,cityblock,weighted,level,5,9,0.21220598918199335,1.3078024743738816
229,cityblock,weighted,level,5,10,0.20033435737283564,1.3506688456289058
230,cityblock,weighted,level,10,6,0.2326219886190926,1.2851480277997773
231,cityblock,weighted,level,10,7,0.21240963721919595,1.4247071641471223
232,cityblock,weighted,level,10,8,0.21244854074030495,1.2955764384546542
233,cityblock,weighted,level,10,9,0.21220598918199335,1.3078024743738816
234,cityblock,weighted,level,10,10,0.20033435737283564,1.3506688456289058
235,cityblock,weighted,level,15,6,0.2326219886190926,1.2851480277997773
236,cityblock,weighted,level,15,7,0.21240963721919595,1.4247071641471223
237,cityblock,weighted,level,15,8,0.21244854074030495,1.2955764384546542
238,cityblock,weighted,level,15,9,0.21220598918199335,1.3078024743738816
239,cityblock,weighted,level,15,10,0.20033435737283564,1.3506688456289058
240,correlation,complete,,2,6,0.24852190385731565,1.321185029075789
241,correlation,complete,,2,7,0.2673059484588801,1.4781487383219323
